rank,package_name,downloads,status,phantom_count,phantom_deps,total_imports,total_declared
974,apache-airflow-providers-http,11333149,success,259,"a2wsgi,adlfs,aiobotocore,aiofiles,aiosmtplib,airbyte_api,airflow,airflow_breeze,airflow_local_settings,airflowctl,alembic,alibabacloud_adb20211201,alibabacloud_tea_openapi,anyio,apache_beam,apprise,arango,argcomplete,asana,asgiref,asyncssh,atlassian,attr,attrs,azure,babel,boto3,botocore,bson,cadwyn,cassandra,celery,certifi,cohere,colorama,colorlog,confluent_kafka,connexion,cron_descriptor,croniter,cryptography,daemon,databricks,datadog,datamodel_code_generator,dateutil,deltalake,deprecated,dill,docker,docs,dotenv,duckdb,elastic_transport,elasticsearch,facebook_business,fastapi,fastapi_cli,filelock,flask,flask_appbuilder,flask_babel,flask_jwt_extended,flask_limiter,flask_login,flask_session,flask_sqlalchemy,flask_wtf,fsspec,gcloud,gcsfs,gevent,github,google,google_auth_httplib2,google_auth_oauthlib,googleapiclient,graphviz,greenback,gremlin_python,grpc,hdfs,hmsclient,httpcore,httplib2,hvac,ibmcloudant,impala,importlib_metadata,inflection,influxdb_client,inputimeout,itsdangerous,jaydebeapi,jenkins,jinja2,jmespath,jpype,jsonpath_ng,jsonschema,jupyter_client,jwt,kerberos,keycloak,keyring,kiota_abstractions,kiota_authentication_azure,kiota_http,kiota_serialization_json,kiota_serialization_text,kubernetes,kubernetes_asyncio,kylinpy,lazy_object_proxy,libcst,lockfile,looker_sdk,lxml,markupsafe,marshmallow,marshmallow_sqlalchemy,memray,mergedeep,methodtools,more_itertools,msal,msgraph_core,msgraphfs,msgspec,msrest,msrestazure,mypy_boto3_appflow,mypy_boto3_rds,mypy_boto3_redshift_data,mypy_boto3_s3,mypy_boto3_verifiedpermissions,mysql,mysqldb,natsort,neo4j,numpy,odps,onelogin,openai,openapi_spec_validator,openlineage,opensearchpy,opentelemetry,opsgenie_sdk,oracledb,oss2,packaging,pagerduty,pandas,pandas_gbq,papermill,paramiko,pathspec,pendulum,performance_dags,pgvector,pinecone,pinotdb,pluggy,plyvel,polars,prestodb,proto,provider_yaml_utils,psutil,psycopg,psycopg2,pyarrow,pyathena,pydantic,pydantic_core,pydruid,pyexasol,pygtrie,pyhive,pyiceberg,pymongo,pymssql,pymysql,pyodbc,pypsrp,pyspark,pytz,qdrant_client,redis,redshift_connector,requests,requests_gssapi,requests_kerberos,requests_toolbelt,restructuredtext_lint,retryhttp,rich,rich_argparse,rich_click,s3fs,sagemaker_studio,segment,semver,sendgrid,sentry_sdk,setproctitle,simple_salesforce,slack_sdk,slugify,smbclient,smbprotocol,snowflake,sphinx_airflow_theme,sphinx_exts,spython,sqlalchemy,sqlalchemy_jsonfield,sqlalchemy_utils,sqlparse,sshtunnel,starlette,statsd,structlog,svcs,tableauserverclient,tabulate,telegram,tenacity,teradatasql,termcolor,tests_common,thrift,thrift_sasl,tomli,tqdm,traitlets,trino,typing_extensions,upath,urllib3,uuid6,uvicorn,vertex_ray,vertexai,vertica_python,watchfiles,watchtower,weaviate,werkzeug,winrm,wtforms,yandex,yandex_query_client,yandexcloud,ydb,ydb_dbapi,zenpy,zoneinfo",262,106
975,rich-rst,11330902,success,0,,1,3
976,hatch,11319847,success,8,"backports,editables,pathspec,pexpect,pluggy,tomli,trove_classifiers,userpath",17,17
977,pycares,11312361,success,0,,2,2
978,bandit,11283827,success,7,"colorama,configparser,jschema_to_python,rich,sarif_om,stevedore,tomli",7,0
979,ciso8601,11247887,success,0,,0,0
980,mkdocs,11247523,success,2,"typing_extensions,yaml_env_tag",14,15
981,azure-data-tables,11215764,clone_failed,0,,0,0
982,faiss-cpu,11189861,success,0,,0,2
983,atlassian-python-api,11146991,success,4,"atlassian,bs4,requests_kerberos,urllib3",10,7
984,azure-nspkg,11129099,success,79,"adal,agent_framework,aio,avro,azure,azureml,bytecode,cchardet,certifi,chardet,charset_normalizer,ci_tools,cloudevents,colorama,common_tasks,corehttp,cryptography,dns,docker,dotenv,gh_tools,httpcore,infra,ipython,isodate,jinja2,jsonschema,jwt,key_vault_base,key_vault_base_async,langchain_azure_ai,langchain_core,langgraph,makefun,marshmallow,mcp,mldesigner,msal,msal_extensions,msrest,msrestazure,multidict,nltk,openai,opentelemetry,packaging,pandas,pkg_resources,prep_sphinx_env,process_monitor,promptflow,psutil,pydantic,pydash,pypi_tools,pyrit,pyspark,requests,ruamel,run_sphinx_apidoc,semantic_kernel,six,smoke_test,smoke_test_async,starlette,strictyaml,tenacity,tox_helper_tasks,tqdm,trio,typing_extensions,uamqp,urllib2,urllib3,urlparse,uvicorn,verify_whl,websocket,yarl",79,0
985,types-redis,11084548,clone_failed,0,,0,0
986,python-pptx,11060257,clone_failed,0,,0,0
987,types-cffi,11054209,clone_failed,0,,0,0
988,html5validator,11051897,success,1,vnujar,1,2
989,jsondiff,11045022,success,0,,0,0
990,geopandas,11009856,success,7,"branca,cx_freeze,fiona,fsspec,py2exe,pyarrow_hotfix,tomli",20,22
991,azure-kusto-data,10994029,success,14,"asgiref,azure,dateutil,ijson,inflection,msal,numpy,opentelemetry,pandas,requests,tenacity,tqdm,urllib3,utils",14,3
992,types-pyopenssl,10993718,clone_failed,0,,0,0
993,python-socketio,10992118,success,9,"aio_pika,aioredis,eventlet,gevent,kafka,kombu,msgpack,redis,valkey",11,7
994,diff-cover,10974492,success,4,"chardet,jinja2,pluggy,tomli",4,0
995,monotonic,10934925,success,0,,0,0
996,av,10910685,success,2,"numpy,pil",2,0
997,pytest-django,10859964,success,0,,0,1
998,pywin32-ctypes,10848464,success,2,"cffi,win32ctypes",2,0
999,tree-sitter-languages,10848001,success,0,,1,1
1000,azure-storage-common,10839617,success,8,"azure,cryptography,cstringio,dateutil,requests,stringio,urllib2,urlparse",8,0
