rank,package_name,downloads,status,phantom_count,phantom_deps,total_imports,total_declared,repo_url
462,langchain-community,36641593,success,237,"ads,aerospike-vector-search,ain,airbyte-cdk,aleph-alpha-client,alibabacloud-ha3engine-vector,alibabacloud-tea-util,apify-client,arango,arcgis,argilla,arize,arthurai,asknews-sdk,astrapy,atlassian,azure,azureml,baidubce,banana-dev,bibtexparser,bigdl,bilibili-api,boto3,botocore,bson,cassio,chardet,chromadb,clarifai-grpc,clickhouse-connect,cloudpathlib,cloudpickle,cnosdb-connector,comet-llm,confluent-kafka,datadog-api-client,datasets,dbruntime,ddgs,decouple,deepeval,dgml-utils,dingodb,doctran,docx2txt,dria,dynamodb-encryption-sdk,e2b,elevenlabs,esprima,extract-msg,fake-useragent,faster-whisper,feedparser,firebase-admin,fitz,flashrank,flytekit,flytekitplugins,geopandas,gliner,google-auth-oauthlib,googleapiclient,gptcache,gpudb,gql,gradientai,graphviz,gremlin-python,grpc,guardrails,hologres-vector,httpx,ibm-watsonx-ai,infinity-client,infinity-emb,instructorembedding,intel-extension-for-transformers,jaguardb-http-client,javelin-sdk,joblib,jq,jsonpatch,jwt,kdbai-client,keybert,label-studio-sdk,langchain-experimental,langchain-openai,langchain-text-splitters,laser-encoders,librosa,listparser,llama-cpp,llmlingua,llmonitor,lorax,lxml,magic,manticoresearch,mediawikiapi,metal-sdk,mlx-lm,modelscope,modin,motor,msal,mwparserfromhell,mwxml,mypy-extensions,nebula3,nest-asyncio,newspaper,nltk,nlu,nomic,nucliadb-models,nucliadb-protos,o365,obs,oci,odps,openapi-pydantic,opensearchpy,optimum,oracledb,packaging,pandas,pdf2image,pdfminer,pdfplumber,pillow,pinecone-text,pipeline,polars,praw,promptlayer,psutil,psychicapi,psycopg,psycopg2,pyairtable,pydantic,pydub,pyepsilla,pygraphviz,pymemcache,pymilvus,pymongo,pymupdf,pymysql,pyowm,pyparsing,pypdf,pypdf2,pypdfium2,pyspark,pysrt,pytesseract,pytigergraph,pytube,pytz,pyzerox,qcloud-cos,qdrant-client,qianfan,quip-api,rank-bm25,rank-llm,rapidocr,rdflib,reportlab,requests-toolbelt,riva,rizaio,rockset,rspace-client,runhouse,scrapingant-client,selenium,semantic-version,sentence-transformers,simsimd,slack-sdk,sodapy,spacy,speechkit,sqlite-vec,sqlite-vss,sseclient,stackapi,steamship,steamspypi,svglib,takeoff-client,tavily,telethon,tencentcloud,tensorflow,tensorflow-text,text-generation,textractcaller,textractor,thirdai,tiktoken,timescale-vector,tokenizers,tomli,torch,torch-npu,tqdm,transformers,transwarp-hippo-api,tree-sitter,tree-sitter-languages,trubrics,tweepy,typing-extensions,upstash-ratelimit,upstash-vector,urllib3,vearch-cluster,websocket,whylogs,wikibase-rest-api-client,wolframalpha,writerai,xinference-client,xlrd,xmltodict,yarl,yfinance,youtube-search,youtube-transcript-api,yt-dlp,zep-python",372,11,https://github.com/langchain-ai/langchain-community
463,nvidia-nvtx-cu12,36629848,no_repo,0,,0,0,
464,lazy-object-proxy,36587675,success,2,"copy-reg,jinja2",3,5,https://github.com/ionelmc/python-lazy-object-proxy
465,pylint,36432194,success,12,"-pytest,childhood,distutils,enchant,fastapi,git,numpy,patlib,physic,platform-specific-module,whatever-replacement-you-want,whatever-you-want",30,37,https://github.com/pylint-dev/pylint
466,llvmlite,36286805,success,8,"coverage,cx-freeze,distutils,graphviz,ipython,lief,setuptools,wheel",10,0,https://github.com/numba/llvmlite
467,portalocker,36192720,success,5,"combined,pywintypes,win32con,win32file,winerror",9,12,https://github.com/wolph/portalocker
468,antlr4-python3-runtime,36148469,no_repo,0,,0,0,
469,google-pasta,36035720,success,2,"setuptools,six",3,0,https://github.com/google/pasta
470,fqdn,35969706,success,2,"cached-property,setuptools",3,0,https://github.com/ypcrts/fqdn
471,ipython-pygments-lexers,35965125,success,1,pytest,3,1,https://github.com/ipython/ipython-pygments-lexers
472,isoduration,35577987,success,2,"arrow,setuptools",3,0,https://github.com/bolsote/isoduration
473,inflection,35543217,success,1,setuptools,3,3,https://github.com/jpvanhal/inflection
474,uri-template,35409883,no_repo,0,,0,0,
475,widgetsnbextension,35405893,no_repo,0,,0,0,
476,click-plugins,35209700,success,1,click,2,0,https://github.com/click-contrib/click-plugins
477,pyphen,35194175,success,0,,0,4,https://github.com/Kozea/Pyphen
478,kombu,35099659,success,34,"amqp,azure,backports,billiard,boto3,botocore,brotli,cached-property,confluent-kafka,django,eventlet,gevent,google,hypothesis,isodate,kazoo,msgpack,packaging,pip,pycurl,pymongo,pyrabbit,pyro4,pytest,pywintypes,pyyaml,qpidtoollibs,setuptools,softlayer-messaging,typing-extensions,urlparse,vine,win32con,win32file",42,0,https://github.com/celery/kombu
479,google-cloud-bigtable,35095411,clone_failed,0,,11,0,https://github.com/googleapis/google-cloud-python
480,send2trash,34989772,success,5,"foundation,gi,pythoncom,pywintypes,win32com",6,3,https://github.com/arsenetar/send2trash
481,coloredlogs,34939395,no_repo,0,,0,0,
482,outcome,34852992,success,2,"attr,typing-extensions",2,1,https://github.com/python-trio/outcome
483,datasets,34828472,success,44,"aiohttp,cbor,dill,elasticsearch,faiss,fsspec,h5py,httpx,huggingface-hub,ipyniivue,ipython,jax,jaxlib,joblib,joblibspark,lz4,msgpack,multiprocess,nibabel,numpy,packaging,pdfplumber,pillow,polars,py7zr,pyarrow,pyspark,pyyaml,rarfile,regex,requests,scipy,setuptools,spacy,sqlalchemy,tensorflow,tiktoken,torch,torchcodec,torchvision,transformers,typing-extensions,xxhash,zstandard",50,0,https://github.com/huggingface/datasets
484,ipywidgets,34810991,no_repo,0,,0,0,
485,async-lru,34772004,success,2,"setuptools,typing-extensions",5,12,https://github.com/aio-libs/async-lru
486,jupyterlab-widgets,34540552,success,8,"ipykernel,ipython,jupyter-packaging,matplotlib-inline,nbformat,requests,setuptools,traitlets",13,13,https://github.com/jupyter-widgets/ipywidgets
487,oauth2client,34201359,success,16,"cgi,fasteners,flask,google,googleapiclient,httplib2,keyring,markupsafe,pyasn1,pyasn1-modules,pycryptodome,pyopenssl,rsa,setuptools,six,webapp2",21,3,https://github.com/google/oauth2client
488,rfc3986-validator,34175169,success,1,setuptools,1,11,https://github.com/naimetti/rfc3986-validator
489,pandas-stubs,33526758,success,2,"loguru,pytest",2,1,https://github.com/pandas-dev/pandas-stubs
490,langchain-openai,33489469,success,35,"certifi,datasets,deepagents,defusedxml,filetype,grandalf,ipython,jinja2,jsonschema,langchain-astradb,langchain-elasticsearch,langchain-ibm,langchain-milvus,langchain-mongodb,langchain-neo4j,langchain-nvidia-ai-endpoints,langchain-pinecone,langchain-postgres,langchain-upstage,langchain-weaviate,lark,lxml,numexpr,openapi-pydantic,optimum,perplexity,pydantic-core,pygraphviz,pyppeteer,rapidfuzz,scipy,simsimd,torch,tqdm,vcr",113,64,https://github.com/langchain-ai/langchain
491,aws-lambda-powertools,33214505,success,13,"aws-cdk,botocore,constructs,google,jsii,mypy-boto3-appconfigdata,mypy-boto3-dynamodb,mypy-boto3-s3,mypy-boto3-secretsmanager,mypy-boto3-ssm,nox,pydantic-core,python-dateutil",27,16,https://github.com/aws-powertools/powertools-lambda-python
492,tensorboard,33169981,success,15,"absl,bleach,botocore,google,grpc,grpc-testing,httplib,ipython,selenium,tensorboard-plugin-profile,tensorboard-plugin-wit,tensorflow,tensorflow-io,testing,urlparse",26,19,https://github.com/tensorflow/tensorboard
493,weasyprint,33018193,success,0,,8,12,https://github.com/Kozea/WeasyPrint
494,seaborn,32965643,success,11,"com,cycler,fastcluster,ipywidgets,jinja2,nbformat,pillow,traitlets,typing-extensions,win32api,win32com",20,22,https://github.com/mwaskom/seaborn
495,terminado,32770294,success,1,winpty,6,15,https://github.com/jupyter/terminado
496,apache-airflow-providers-common-sql,32758454,success,71,"-pytest,-typeshed,airflow-client,airflow-shared,anyio,arango,attr,bson,certifi,colorama,daemon,datamodel-code-generator,docx,dotenv,elastic-transport,fastapi-cli,flask-babel,flask-jwt-extended,gcloud,github3,googleapiclient,gremlin-python,hatchling,httpcore,influxdb-client-3,jpype,jupyter-client,jwt,kiota-abstractions,kiota-authentication-azure,kiota-http,kiota-serialization-json,kiota-serialization-text,kombu,langchain-community,langchain-core,langchain-text-splitters,ldap,llama-index,markupsafe,msal,msrest,msrestazure,mypy-boto3-appflow,mypy-boto3-rds,mypy-boto3-redshift-data,mypy-boto3-s3,mypy-boto3-verifiedpermissions,mysqldb,odps,onelogin,openapi-spec-validator,opensearchpy,opentelemetry,performance-dags,prestodb,proto,psycopg2,pydantic-core,pymysql,pytz,requests-gssapi,slugify,smbclient,thrift,traitlets,unit,upath,vertex-ray,vertexai,watchfiles",306,528,https://github.com/apache/airflow
497,azure-mgmt-core,32501539,clone_failed,0,,0,0,https://github.com/Azure/azure-sdk-for-python
498,omegaconf,32469328,success,7,"-pydevd-bundle,attr,distutils,nox,pytest,pyyaml,setuptools",10,1,https://github.com/omry/omegaconf
499,xgboost,32399665,success,27,"cpplint,cuda,cudf,cuml,cupy,cupyx,dask-cuda,dask-cudf,dask-ml,hatchling,hypothesis,loky,modin,nvflare,nvidia,optuna,packaging,polars,pyarrow,pyhwloc,pylibcudf,pytest,requests,rmm,shap,tqdm,ubjson",41,22,https://github.com/dmlc/xgboost
500,sentencepiece,32357929,success,4,"-builtin-,-sentencepiece,google,setuptools",4,1,https://github.com/google/sentencepiece
501,adal,32343574,success,1,urlparse,2,5,https://github.com/AzureAD/azure-activedirectory-library-for-python
502,google-cloud-audit-log,32335058,success,0,,0,0,https://github.com/googleapis/python-audit-log
503,annotated-doc,32265653,success,0,,0,0,https://github.com/fastapi/annotated-doc
504,setproctitle,32143503,success,1,setuptools,1,0,https://github.com/dvarrazzo/py-setproctitle
505,progressbar2,32095908,success,0,,2,10,https://github.com/wolph/python-progressbar
506,thrift,32073292,no_repo,0,,0,0,
507,notebook-shim,32008511,no_repo,0,,0,0,
508,zeep,31996833,success,1,attr,12,24,https://github.com/mvantellingen/python-zeep
509,jupyter-events,31991223,success,1,pythonjsonlogger,10,19,https://github.com/jupyter/jupyter_events
510,ecdsa,31806080,success,10,"configparser,cx-freeze,distutils,gmpy,gmpy2,hypothesis,py2exe,pytest,setuptools,unittest2",13,1,https://github.com/tlsfuzzer/python-ecdsa
511,pyodbc,31622986,success,1,setuptools,2,3,https://github.com/mkleehammer/pyodbc
512,delta-spark,31536041,success,8,"boto3,botocore,google,importlib-metadata,py4j,pyspark,scripts,setuptools",9,7,https://github.com/delta-io/delta
513,sqlalchemy-bigquery,31384578,clone_failed,0,,8,4,https://github.com/googleapis/google-cloud-python
514,zopfli,31371018,success,1,setuptools,2,0,https://github.com/fonttools/py-zopfli
515,ray,31279857,success,63,"acl,aliyunsdkcore,aliyunsdkecs,amdsmi,attr,bayes-opt,bson,chest,cudf,cupy,d4rl,daft,dask-expr,dbruntime,dpctl,emoji,faster-whisper,google,googleapiclient,gputil,grpc,habana-frameworks,lance,langchain,libneuronxla,many-nodes-tests,mars,mcap,my-module,obstore,openai,opencv-python,opentelemetry,optimum,pipes,pydevd,pylibcudf,pymongoarrow,pymupdf,pymxsml,rapidsmpf,rebel,recsys,rmm,runfiles,setuptools-scm,skein,snappy,snowflake,tf2onnx,torch-neuronx,torch-npu,torch-xla,torchdata,torchft,torchrec,tree,turbopuffer,ultralytics,viztracer,win32api,win32con,win32job",290,754,https://github.com/ray-project/ray
516,opencv-python,31124513,success,5,"auditwheel,packaging,pip,setuptools,skbuild",5,0,https://github.com/opencv/opencv-python
517,gcloud-aio-storage,31021983,success,4,"gcloud,jwt,pyasn1,requests",11,10,https://github.com/talkiq/gcloud-aio
518,cloudflare,31004707,success,3,"griffe,pydantic-core,rich",10,8,https://github.com/cloudflare/cloudflare-python
519,pandas-gbq,30782214,clone_failed,0,,11,0,https://github.com/googleapis/google-cloud-python
520,jupyter-server-terminals,30745935,success,2,"jupyter-core,traitlets",6,17,https://github.com/jupyter-server/jupyter_server_terminals
521,psycopg,30645457,success,9,"cython,distutils,dns,packaging,polib,requests,ruamel,setuptools,tomli",19,27,https://github.com/psycopg/psycopg
522,rfc3986,30641007,no_repo,0,,0,0,
523,retry,30601017,success,1,setuptools,2,2,https://github.com/invl/retry
524,anthropic,30600337,success,4,"google,griffe,pydantic-core,rich",18,15,https://github.com/anthropics/anthropic-sdk-python
525,pydyf,30593822,success,0,,0,5,https://github.com/CourtBouillon/pydyf
526,nvidia-cusparselt-cu12,30537766,no_repo,0,,0,0,
527,langchain-text-splitters,30498385,success,35,"certifi,datasets,deepagents,defusedxml,filetype,grandalf,ipython,jinja2,jsonschema,langchain-astradb,langchain-elasticsearch,langchain-ibm,langchain-milvus,langchain-mongodb,langchain-neo4j,langchain-nvidia-ai-endpoints,langchain-pinecone,langchain-postgres,langchain-upstage,langchain-weaviate,lark,lxml,numexpr,openapi-pydantic,optimum,perplexity,pydantic-core,pygraphviz,pyppeteer,rapidfuzz,scipy,simsimd,torch,tqdm,vcr",113,64,https://github.com/langchain-ai/langchain
528,sshtunnel,30498184,success,7,"paramiko,psycopg2,pymongo,pymysql,queue,setuptools,socketserver",8,0,https://github.com/pahaz/sshtunnel
529,gevent,30391764,success,26,"-builtin-,-continuation,-testcapi,-testinternalcapi,asynchat,asyncore,cffi,coverage,cython,distutils,eventlet,imp,mimetools,mock,objgraph,packaging,perf,prospector,psutil,pyperf,requests,selectors2,setuptools,smtpd,win32api,zope",32,0,https://github.com/gevent/gevent
530,humanize,30381426,success,0,,1,8,https://github.com/python-humanize/humanize
531,html2text,30359150,success,0,,0,0,https://github.com/Alir3z4/html2text
532,billiard,30357838,success,8,"-billiard,-subprocess,cffi,distutils,ez-setup,psutil,pytest,setuptools",10,0,https://github.com/celery/billiard
533,celery,30354297,success,49,"-billiard,-dummy-thread,-pypy-,-pytest,azure,backports,billiard,boto3,botocore,bpython,bson,click,click-didyoumean,click-plugins,click-repl,couchbase-core,cpickle,cryptography,dns,docutils,dummy-thread,elastic-transport,exceptiongroup,google,greenlet,ipython,kombu,memcache,moto,objgraph,psutil,pyarango,pycouchdb,pydantic,pydocumentdb,pygments,pylibmc,pymongo,pytest-celery,pytest-docker-tools,python-dateutil,requests,setuptools,sphinx-testing,sqlalchemy,tblib,tzlocal,urllib2,vine",64,0,https://github.com/celery/celery
