packageName,rank,downloads,phantomCount,vulnerablePhantomCount,phantomDeps
py-cpuinfo,752,17855588,45,0,test-actual;test-bug-152-cpu-zero;test-cli;test-compile-errors;test-cpuid;test-example;test-filter;test-free-bsd-11-x86-64;test-haiku-x86-32;test-haiku-x86-64;test-haiku-x86-64-beta-1-ryzen-7;test-invalid-cpu;test-linux-aarch64-64;test-linux-alt-p9-mipsel-bfk3;test-linux-beagle-bone-arm;test-linux-debian-8-5-x86-64;test-linux-debian-8-7-1-ppc64le;test-linux-debian-8-x86-64;test-linux-fedora-24-ppc64le;test-linux-fedora-24-x86-64;test-linux-fedora-29-x86-64-ryzen-7;test-linux-fedora-5-s390x;test-linux-gentoo-2-2-x86-64;test-linux-mips64el-loongson3a3000;test-linux-new-world-loongarch64;test-linux-odroid-c2-aarch64;test-linux-odroid-xu3-arm-32;test-linux-old-world-loongarch64;test-linux-raspberry-pi-model-b-arm;test-linux-rhel-7-3-ppc64le;test-linux-ubuntu-16-04-x86-64;test-linux-ubuntu-21-04-riscv64;test-linux-ubuntu-22-04-x86-64;test-open-indiana-5-11-x86-64-ryzen-7;test-osx-10-12-x86-64;test-osx-10-9-x86-64;test-parse-cpu-string;test-parse-errors;test-pcbsd-10-x86-64;test-selinux;test-solaris-11-x86-32;test-true-os-18-x86-64-ryzen-7;test-windows-10-x86-64;test-windows-10-x86-64-ryzen-7;test-windows-8-x86-64
phonenumbers,753,17855089,1,1,requests
apache-airflow-providers-fab,754,17778909,67,7,airflow-client;airflow-shared;anyio;arango;attr;bson;certifi;colorama;daemon;datamodel-code-generator;docx;dotenv;elastic-transport;fastapi-cli;flask-babel;flask-jwt-extended;gcloud;github3;googleapiclient;gremlin-python;httpcore;influxdb-client-3;jpype;jupyter-client;pyjwt;kiota-abstractions;kiota-authentication-azure;kiota-http;kiota-serialization-json;kiota-serialization-text;kombu;langchain-community;langchain-core;langchain-text-splitters;ldap;llama-index;markupsafe;msal;msrest;msrestazure;mypy-boto3-appflow;mypy-boto3-rds;mypy-boto3-redshift-data;mypy-boto3-s3;mypy-boto3-verifiedpermissions;mysqldb;odps;onelogin;openapi-spec-validator;opensearchpy;performance-dags;prestodb;proto;psycopg2;pydantic-core;pymysql;pytz;requests-gssapi;slugify;smbclient;thrift;traitlets;unit;upath;vertex-ray;vertexai;watchfiles
bracex,755,17727463,0,0,
sentence-transformers,756,17719060,22,5,av;coloredlogs;elasticsearch;faiss;habana-frameworks;httpx;model2vec;nltk;onnxruntime;opensearchpy;optimum;packaging;pillow;pyarrow;qdrant-client;safetensors;seismic;tokenizers;torchaudio;torchcodec;usearch;xxhash
grpc-interceptor,757,17713822,2,1,grpcio;toml
thriftpy2,758,17699507,4,0,addressbook;cython;tomli;toro
limits,759,17689033,1,1,docutils
flask-login,761,17481090,0,0,
requests-mock,763,17467256,4,1,fixtures;pbr;purl;urllib3
